用户ID,注册时间,性别,年级,学院,累计订单数,累计消费金额,平均客单价,最后下单时间,用户等级
wx_100024,2024-02-04,男,大二,外国语学院,4,84.87,21.22,2024-05-06,青铜
wx_100025,2024-02-02,男,大二,经济管理学院,11,306.66,27.88,2024-04-24,钻石
wx_100026,2024-01-05,女,大三,经济管理学院,1,196.94,196.94,2024-04-25,黄金
wx_100027,2024-01-22,女,大三,机械工程学院,10,329.86,32.99,2024-05-15,黄金
wx_100028,2024-01-03,女,大二,艺术学院,1,97.8,97.8,2024-05-14,黄金
wx_100029,2024-02-02,女,大二,机械工程学院,19,64.67,3.4,2024-04-27,白银
wx_100030,2024-01-25,男,大一,经济管理学院,19,276.57,14.56,2024-05-02,钻石
wx_100031,2024-02-04,男,大一,艺术学院,16,346.64,21.66,2024-05-04,钻石
wx_100032,2024-01-21,女,大二,艺术学院,10,459.98,46.0,2024-05-10,白银
wx_100033,2024-02-21,女,大二,机械工程学院,11,386.68,35.15,2024-05-17,白银
wx_100034,2024-01-29,女,大三,计算机学院,12,302.21,25.18,2024-05-18,黄金
wx_100035,2024-02-11,女,大二,机械工程学院,14,153.39,10.96,2024-04-24,白银
wx_100036,2024-02-29,男,大四,艺术学院,22,112.16,5.1,2024-05-12,黄金
wx_100037,2024-01-22,女,大一,计算机学院,14,239.46,17.1,2024-05-16,钻石
wx_100038,2024-02-10,男,大二,机械工程学院,1,125.05,125.05,2024-05-07,黄金
wx_100039,2024-02-18,女,大一,经济管理学院,2,425.24,212.62,2024-05-20,白银
wx_100040,2024-01-05,男,大四,机械工程学院,12,107.35,8.95,2024-04-28,白银
wx_100041,2024-02-15,女,大一,外国语学院,11,316.17,28.74,2024-05-01,青铜
wx_100042,2024-02-16,男,大一,外国语学院,15,459.8,30.65,2024-04-30,钻石
wx_100043,2024-02-17,女,大三,机械工程学院,23,110.57,4.81,2024-05-15,青铜
wx_100044,2024-01-10,男,大三,机械工程学院,13,194.2,14.94,2024-05-15,黄金
wx_100045,2024-03-01,男,大二,外国语学院,16,203.5,12.72,2024-05-02,钻石
wx_100046,2024-01-19,女,大四,外国语学院,25,130.29,5.21,2024-05-16,青铜
wx_100047,2024-02-22,男,大四,艺术学院,9,308.81,34.31,2024-05-01,黄金
wx_100048,2024-01-07,女,大三,经济管理学院,4,179.53,44.88,2024-05-05,钻石
wx_100049,2024-01-15,男,大三,外国语学院,20,389.06,19.45,2024-04-21,白银
wx_100050,2024-02-12,女,大二,计算机学院,7,298.47,42.64,2024-05-04,白银
wx_100051,2024-01-02,男,大二,计算机学院,16,424.63,26.54,2024-05-20,黄金
wx_100052,2024-01-14,女,大四,机械工程学院,17,106.78,6.28,2024-05-06,黄金
wx_100053,2024-02-28,男,大一,机械工程学院,14,271.96,19.43,2024-05-18,白银
wx_100054,2024-01-18,男,大三,计算机学院,24,406.99,16.96,2024-04-27,青铜
wx_100055,2024-01-21,男,大三,外国语学院,15,333.78,22.25,2024-05-04,青铜
wx_100056,2024-02-15,女,大一,机械工程学院,4,469.57,117.39,2024-04-25,黄金
wx_100057,2024-01-13,男,大一,经济管理学院,5,313.85,62.77,2024-04-23,白银
wx_100058,2024-02-13,男,大三,机械工程学院,5,268.03,53.61,2024-05-15,钻石
wx_100059,2024-01-19,男,大二,计算机学院,17,435.72,25.63,2024-04-27,白银
wx_100060,2024-01-01,女,大一,机械工程学院,18,325.05,18.06,2024-04-28,白银
wx_100061,2024-01-03,女,大三,艺术学院,13,333.96,25.69,2024-05-13,黄金
wx_100062,2024-01-31,男,大三,经济管理学院,10,350.59,35.06,2024-05-05,钻石
wx_100063,2024-02-08,女,大四,外国语学院,4,148.52,37.13,2024-04-20,黄金
wx_100064,2024-01-27,女,大三,经济管理学院,22,241.19,10.96,2024-05-15,钻石
wx_100065,2024-01-21,男,大三,机械工程学院,23,107.63,4.68,2024-04-22,钻石
wx_100066,2024-02-23,女,大四,经济管理学院,1,180.92,180.92,2024-05-04,白银
wx_100067,2024-02-26,女,大一,艺术学院,25,195.44,7.82,2024-04-29,黄金
wx_100068,2024-01-27,女,大四,机械工程学院,13,167.31,12.87,2024-05-19,黄金
wx_100069,2024-02-01,男,大三,计算机学院,10,251.44,25.14,2024-05-13,白银
wx_100070,2024-02-04,男,大一,艺术学院,20,198.36,9.92,2024-05-01,青铜
wx_100071,2024-03-01,男,大四,计算机学院,25,367.13,14.69,2024-04-21,黄金
wx_100072,2024-02-19,男,大一,艺术学院,7,212.94,30.42,2024-05-14,白银
wx_100073,2024-02-23,女,大二,外国语学院,6,459.79,76.63,2024-05-10,钻石
wx_100074,2024-01-14,男,大一,计算机学院,1,389.8,389.8,2024-05-04,青铜
wx_100075,2024-02-02,女,大四,计算机学院,6,177.39,29.56,2024-05-20,白银
wx_100076,2024-02-10,男,大一,外国语学院,24,105.64,4.4,2024-04-25,钻石
wx_100077,2024-02-11,女,大二,外国语学院,3,84.44,28.15,2024-05-04,钻石
wx_100078,2024-01-02,男,大二,计算机学院,24,314.69,13.11,2024-05-08,白银
wx_100079,2024-02-23,女,大三,机械工程学院,17,384.57,22.62,2024-05-11,黄金
wx_100080,2024-01-30,男,大一,外国语学院,21,309.29,14.73,2024-05-08,黄金
wx_100081,2024-01-28,男,大二,机械工程学院,18,175.35,9.74,2024-05-11,白银
wx_100082,2024-01-25,男,大四,机械工程学院,12,393.22,32.77,2024-04-28,青铜
wx_100083,2024-01-29,男,大一,机械工程学院,25,154.45,6.18,2024-05-09,钻石
wx_100084,2024-02-06,男,大三,外国语学院,5,414.36,82.87,2024-05-18,青铜
wx_100085,2024-02-05,男,大二,机械工程学院,19,162.49,8.55,2024-05-16,钻石
wx_100086,2024-02-09,女,大二,计算机学院,25,272.04,10.88,2024-05-07,黄金
wx_100087,2024-02-17,女,大二,计算机学院,11,360.05,32.73,2024-05-01,钻石
wx_100088,2024-02-25,男,大三,经济管理学院,25,303.08,12.12,2024-05-05,钻石
wx_100089,2024-01-21,男,大三,机械工程学院,23,267.35,11.62,2024-05-03,青铜
wx_100090,2024-02-28,男,大四,计算机学院,13,107.28,8.25,2024-05-20,白银
wx_100091,2024-02-03,男,大二,经济管理学院,15,441.39,29.43,2024-05-17,青铜
wx_100092,2024-02-26,女,大四,经济管理学院,21,411.42,19.59,2024-05-05,白银
wx_100093,2024-02-17,女,大四,计算机学院,10,102.91,10.29,2024-05-11,黄金
wx_100094,2024-02-03,女,大三,艺术学院,21,124.68,5.94,2024-05-11,白银
wx_100095,2024-02-21,女,大三,机械工程学院,15,144.78,9.65,2024-05-10,白银
wx_100096,2024-01-11,女,大一,外国语学院,14,130.65,9.33,2024-05-05,青铜
wx_100097,2024-01-01,女,大二,经济管理学院,23,92.23,4.01,2024-05-06,黄金
wx_100098,2024-01-07,男,大四,艺术学院,6,80.05,13.34,2024-04-30,白银
wx_100099,2024-01-23,男,大二,外国语学院,10,419.34,41.93,2024-04-23,钻石
wx_100100,2024-02-07,女,大三,艺术学院,25,231.47,9.26,2024-05-12,白银
wx_100101,2024-01-05,男,大一,经济管理学院,9,130.25,14.47,2024-05-02,青铜
wx_100102,2024-01-09,女,大三,艺术学院,25,434.03,17.36,2024-05-01,黄金
wx_100103,2024-02-21,女,大二,经济管理学院,1,402.51,402.51,2024-05-14,青铜
wx_100104,2024-02-29,男,大二,经济管理学院,16,443.58,27.72,2024-05-10,青铜
wx_100105,2024-02-27,男,大二,艺术学院,15,241.43,16.1,2024-05-05,黄金
wx_100106,2024-01-20,男,大二,艺术学院,13,219.79,16.91,2024-05-08,钻石
wx_100107,2024-01-23,女,大三,艺术学院,3,447.48,149.16,2024-04-24,白银
wx_100108,2024-01-11,女,大二,机械工程学院,18,248.74,13.82,2024-04-28,黄金
wx_100109,2024-02-13,男,大四,外国语学院,6,61.38,10.23,2024-05-09,钻石
wx_100110,2024-02-19,女,大四,经济管理学院,20,301.91,15.1,2024-04-21,白银
wx_100111,2024-01-25,女,大二,计算机学院,7,248.94,35.56,2024-05-04,白银
wx_100112,2024-01-01,女,大三,计算机学院,12,462.11,38.51,2024-05-04,青铜
wx_100113,2024-02-08,女,大一,外国语学院,21,265.43,12.64,2024-05-19,黄金
wx_100114,2024-01-18,男,大一,机械工程学院,20,334.51,16.73,2024-05-05,白银
wx_100115,2024-01-31,男,大一,外国语学院,1,325.81,325.81,2024-04-28,白银
wx_100116,2024-02-15,男,大二,计算机学院,14,425.33,30.38,2024-05-17,青铜
wx_100117,2024-01-29,男,大三,计算机学院,18,174.87,9.71,2024-04-23,白银
wx_100118,2024-02-11,男,大三,外国语学院,23,126.15,5.48,2024-05-02,黄金
wx_100119,2024-02-03,男,大四,机械工程学院,22,351.34,15.97,2024-05-18,白银
wx_100120,2024-02-22,男,大三,计算机学院,6,249.53,41.59,2024-05-12,白银
wx_100121,2024-02-14,女,大二,计算机学院,10,173.19,17.32,2024-05-09,青铜
wx_100122,2024-01-22,女,大一,艺术学院,15,89.67,5.98,2024-04-21,青铜
wx_100123,2024-01-12,男,大二,外国语学院,19,331.98,17.47,2024-05-20,白银
wx_100124,2024-02-20,男,大二,外国语学院,15,86.57,5.77,2024-04-27,白银
wx_100125,2024-01-20,男,大二,外国语学院,2,220.69,110.34,2024-05-11,白银
wx_100126,2024-01-18,男,大三,机械工程学院,8,425.87,53.23,2024-05-12,白银
wx_100127,2024-01-12,女,大三,机械工程学院,9,91.59,10.18,2024-05-09,黄金
wx_100128,2024-01-23,女,大二,计算机学院,19,223.56,11.77,2024-05-03,白银
wx_100129,2024-02-14,女,大三,外国语学院,7,203.98,29.14,2024-04-20,黄金
wx_100130,2024-01-06,男,大三,经济管理学院,15,167.38,11.16,2024-04-21,青铜
wx_100131,2024-02-03,男,大四,经济管理学院,15,314.07,20.94,2024-05-09,钻石
wx_100132,2024-02-12,男,大三,计算机学院,21,211.5,10.07,2024-04-22,青铜
wx_100133,2024-01-11,女,大四,外国语学院,11,341.55,31.05,2024-05-17,白银
wx_100134,2024-02-28,女,大三,经济管理学院,15,296.05,19.74,2024-04-26,青铜
wx_100135,2024-01-29,女,大四,机械工程学院,16,425.34,26.58,2024-05-12,黄金
wx_100136,2024-02-08,女,大四,机械工程学院,10,68.06,6.81,2024-04-21,白银
wx_100137,2024-02-18,男,大四,机械工程学院,25,171.21,6.85,2024-05-02,钻石
wx_100138,2024-02-07,男,大二,艺术学院,6,465.06,77.51,2024-04-22,白银
wx_100139,2024-03-01,男,大二,外国语学院,2,486.65,243.32,2024-05-11,白银
wx_100140,2024-02-21,女,大四,机械工程学院,6,257.26,42.88,2024-04-29,白银
wx_100141,2024-01-13,男,大三,外国语学院,3,133.07,44.36,2024-04-23,白银
wx_100142,2024-01-28,男,大二,经济管理学院,22,299.91,13.63,2024-04-26,黄金
wx_100143,2024-01-01,女,大二,外国语学院,4,261.86,65.47,2024-04-29,钻石
wx_100144,2024-02-14,男,大四,机械工程学院,15,367.8,24.52,2024-04-26,青铜
wx_100145,2024-01-25,男,大三,经济管理学院,13,397.97,30.61,2024-04-22,黄金
wx_100146,2024-02-22,女,大四,艺术学院,3,206.09,68.7,2024-04-29,青铜
wx_100147,2024-01-15,男,大二,外国语学院,12,202.93,16.91,2024-04-24,青铜
wx_100148,2024-02-09,女,大一,经济管理学院,5,274.98,55.0,2024-05-19,白银
wx_100149,2024-01-20,女,大一,外国语学院,13,344.32,26.49,2024-05-07,白银
wx_100150,2024-01-19,女,大四,机械工程学院,2,167.46,83.73,2024-04-20,钻石
wx_100151,2024-01-12,男,大四,艺术学院,4,259.22,64.81,2024-05-18,黄金
wx_100152,2024-02-13,男,大四,计算机学院,6,193.56,32.26,2024-05-02,钻石
wx_100153,2024-02-13,女,大一,机械工程学院,21,481.96,22.95,2024-05-08,钻石
wx_100154,2024-02-19,男,大三,机械工程学院,9,383.93,42.66,2024-05-17,钻石
wx_100155,2024-02-02,女,大四,外国语学院,18,487.3,27.07,2024-05-17,白银
wx_100156,2024-01-28,女,大一,经济管理学院,1,201.7,201.7,2024-04-21,黄金
wx_100157,2024-01-13,女,大四,计算机学院,15,176.77,11.78,2024-05-17,钻石
wx_100158,2024-01-30,女,大一,艺术学院,22,216.18,9.83,2024-05-07,黄金
wx_100159,2024-02-13,女,大一,艺术学院,9,130.43,14.49,2024-05-09,钻石
wx_100160,2024-01-02,女,大三,外国语学院,21,66.03,3.14,2024-05-17,黄金
wx_100161,2024-02-16,男,大四,经济管理学院,6,87.82,14.64,2024-05-17,白银
wx_100162,2024-02-16,男,大四,机械工程学院,9,205.42,22.82,2024-05-06,白银
wx_100163,2024-02-28,女,大一,计算机学院,11,217.76,19.8,2024-05-16,青铜
wx_100164,2024-01-25,男,大三,外国语学院,14,230.33,16.45,2024-05-15,黄金
wx_100165,2024-02-16,男,大四,计算机学院,7,306.9,43.84,2024-05-11,白银
wx_100166,2024-02-14,男,大三,艺术学院,16,146.84,9.18,2024-04-21,钻石
wx_100167,2024-01-18,男,大三,艺术学院,22,70.58,3.21,2024-05-08,白银
wx_100168,2024-02-13,女,大三,计算机学院,14,143.21,10.23,2024-04-25,钻石
wx_100169,2024-02-12,男,大三,外国语学院,15,319.59,21.31,2024-04-30,黄金
wx_100170,2024-01-07,男,大二,计算机学院,23,196.07,8.52,2024-05-18,黄金
wx_100171,2024-02-16,女,大四,艺术学院,11,293.66,26.7,2024-05-05,青铜
wx_100172,2024-01-22,女,大三,外国语学院,15,118.3,7.89,2024-04-23,钻石
wx_100173,2024-01-14,男,大四,外国语学院,13,64.52,4.96,2024-04-23,青铜
wx_100174,2024-02-10,女,大三,计算机学院,7,386.6,55.23,2024-05-04,黄金
wx_100175,2024-01-20,女,大三,机械工程学院,22,260.32,11.83,2024-05-16,白银
wx_100176,2024-02-09,女,大四,机械工程学院,25,60.53,2.42,2024-05-11,钻石
wx_100177,2024-01-16,女,大二,机械工程学院,20,476.97,23.85,2024-05-17,青铜
wx_100178,2024-01-26,男,大二,计算机学院,19,180.21,9.48,2024-04-23,白银
wx_100179,2024-02-19,女,大四,外国语学院,25,147.99,5.92,2024-04-22,黄金
wx_100180,2024-01-21,女,大一,外国语学院,17,291.03,17.12,2024-05-08,白银
